Robert Morris,100.84091262715,99.253062397868,0.5455039559235,18–14,18,32,48.0,48.3,35.4,49.7,19.9,22.9,34.4,32.7,45.2,46.8,35.7,33.9,6.6,7.7,58.0,58.7,33.6,38.1,64.7,2011,-6.956470880817,68.5,67.0
Seattle,92.790646220447,100.62211214123,0.28255942103617,11–20,11,31,44.6,51.1,35.8,46.8,23.4,23.6,35.7,32.5,44.2,50.9,30.3,34.4,5.2,11.5,47.2,58.7,30.5,32.9,73.9,2011,-14.477100865607,65.7,72.2
Villanova,114.17629953957,95.648224923676,0.88455249510151,21–11,21,32,49.7,46.4,42.6,36.2,18.1,18.3,36.0,30.2,48.4,45.3,34.9,32.1,10.6,9.9,56.6,60.0,32.9,36.3,66.6,2011,1.3627349785371,75.8,71.1
Howard,86.861534061179,109.63131871496,0.064326813722826,6–24,6,30,42.4,51.8,42.6,44.9,24.0,20.9,35.2,34.9,40.5,50.3,31.0,36.3,6.5,12.0,47.0,62.4,30.5,37.3,66.1,2011,-20.245566595944,62.3,64.8
Utah St.,109.25667577479,90.680474831618,0.89502369828689,29–3,29,32,52.2,43.3,43.4,34.0,18.4,18.9,34.2,25.7,51.5,42.4,35.8,30.0,9.2,8.2,59.4,52.0,31.2,33.4,63.3,2011,3.8299219345767,73.6,66.9
Marist,92.943884405533,109.19492100993,0.1355100012712,6–27,6,33,44.1,49.6,36.3,37.6,21.9,16.4,27.8,33.7,42.6,48.5,31.1,34.4,7.0,12.8,47.9,56.0,38.4,34.5,66.3,2011,-19.819994917747,71.2,70.3
Portland St.,102.13422706841,111.99223581624,0.25738037324873,13–16,13,29,49.9,53.4,38.4,30.0,18.2,19.3,29.5,35.7,48.3,53.9,35.1,35.0,5.5,8.8,52.5,51.7,35.7,31.6,68.3,2011,-11.855829719662,72.8,67.8
Denver,99.46471737255,102.22871635153,0.42184334433001,13–17,13,30,54.2,50.4,38.1,62.3,20.8,23.4,20.0,31.6,49.5,47.1,40.1,40.9,10.9,11.7,66.1,40.0,43.7,23.0,58.0,2011,-12.050797775865,72.5,69.1
Cal St. Northridge,98.756983222415,104.22888197564,0.34974455227237,12–18,12,30,48.1,50.0,49.0,56.2,22.6,20.9,32.4,33.0,47.5,49.5,32.9,33.9,10.3,7.9,52.9,59.6,32.3,37.4,69.2,2011,-12.029973645391,66.7,69.5
Maryland,107.51902587512,92.124249007764,0.85533724319683,19–14,19,33,50.9,45.6,38.9,29.6,19.0,20.9,35.8,31.8,50.5,44.2,34.8,32.4,11.2,7.7,59.8,52.9,21.9,32.5,71.6,2011,-1.6188458972055,67.7,69.5
Rice,103.96653207208,103.03515296606,0.52584854131923,12–18,12,30,48.3,52.4,42.9,45.3,19.1,20.7,32.2,28.0,47.0,48.9,34.2,38.4,7.9,8.8,56.1,58.0,30.0,39.9,64.5,2011,-10.072467960744,71.8,71.2
Rider,106.82373231703,101.45608526593,0.64402379201231,23–10,23,33,53.9,45.5,35.3,33.1,19.8,18.7,30.6,34.8,50.7,44.4,40.1,32.0,11.1,7.8,54.1,56.3,34.2,32.5,68.8,2011,-3.5103934702877,65.3,66.8
Boston College,116.51400390095,103.44224543183,0.79713403273971,20–12,20,32,54.1,50.5,31.5,26.7,17.0,16.3,30.3,33.2,52.0,49.5,38.0,34.8,6.8,11.1,60.7,50.6,43.7,34.1,63.8,2011,-0.13718511419512,72.1,70.7
Arizona,115.72640057065,95.739392619975,0.89847446286532,27–7,27,34,54.4,48.4,44.1,36.3,18.9,18.7,33.3,29.0,51.2,50.5,39.9,28.8,6.6,9.4,55.4,53.2,36.8,28.5,66.5,2011,4.6238257006488,74.7,66.6
Penn St.,111.15412235488,96.735796910441,0.83170275792235,19–14,19,33,49.9,50.6,31.8,29.1,17.7,18.1,32.3,30.2,49.6,47.9,33.6,36.7,7.6,11.3,54.1,63.4,36.5,36.9,60.9,2011,1.4676603224114,72.5,69.2
Hawaii,99.874458185983,99.859996469316,0.50041632702733,16–12,16,28,51.1,45.9,41.4,37.8,23.3,18.8,32.3,32.1,49.8,43.0,35.6,34.0,11.1,7.8,51.1,55.9,33.3,35.5,67.4,2011,-6.1582254253341,69.0,69.1
San Diego,91.942646876629,102.85690447054,0.2158530967164,4–24,4,28,46.5,50.9,36.6,43.3,22.7,20.0,25.7,36.8,46.2,51.5,31.5,32.9,8.1,9.4,52.5,54.5,32.6,28.8,64.8,2011,-16.160923348686,66.9,71.8
UC Davis,100.50935755395,107.87076766549,0.30728235263792,8–20,8,28,52.9,51.8,34.5,40.6,20.2,19.4,23.0,34.8,50.8,51.7,37.5,34.7,6.0,6.5,59.4,51.4,39.0,29.4,67.7,2011,-14.680291802305,73.8,65.1
LSU,95.800763085859,97.424414269846,0.45183205187497,11–21,11,32,45.0,46.4,37.6,40.0,21.7,20.0,32.1,35.0,44.2,45.3,31.2,32.8,8.6,11.4,52.6,40.7,32.4,30.2,66.0,2011,-11.841603967975,66.5,70.6
St. Francis NY,95.988201568558,100.63353761586,0.36737530653103,15–15,15,30,46.1,49.2,40.1,45.5,19.7,24.6,32.2,35.8,45.8,49.5,31.1,32.4,6.5,9.2,51.9,55.5,39.9,27.5,67.6,2011,-10.416456633905,66.2,68.2
Fresno St.,99.504700522715,101.83283448243,0.43389705749915,13–17,13,30,47.7,50.0,39.4,39.5,20.3,20.4,33.6,30.9,49.6,47.8,29.5,36.4,9.7,8.5,59.9,54.9,36.5,32.5,66.5,2011,-10.050867301595,63.2,68.0
