UC Santa Barbara,99.279751137333,96.563540837352,0.57908405102983,19–9,19,28,51.3,47.9,46.9,39.5,22.8,22.3,27.5,32.7,48.2,49.3,37.8,30.5,9.7,7.9,61.1,57.2,36.1,39.9,67.6,2010,-4.0014545958264,68.2,66.4
Arkansas Pine Bluff,91.413347883321,98.386495628026,0.30040110495744,16–15,16,31,45.0,46.0,48.6,55.3,24.5,20.6,35.8,26.6,45.0,44.4,30.2,33.1,9.9,11.3,57.4,57.1,25.7,30.7,67.3,2010,-7.9280223888094,66.2,66.3
Toledo,88.554150689314,107.38893537517,0.098172816782245,3–28,3,31,46.0,51.3,27.3,36.3,23.3,16.7,27.2,32.9,44.3,51.5,33.1,33.9,5.3,9.0,52.6,62.3,32.0,34.1,62.0,2010,-21.591598226536,63.1,67.5
Indiana,101.32349185253,100.30046933183,0.52914218573275,10–21,10,31,46.4,49.7,41.8,41.1,23.0,20.6,35.6,35.9,44.5,49.9,34.1,32.9,9.2,13.2,53.3,57.4,27.8,32.7,69.0,2010,-9.3155873606141,69.1,69.2
Louisiana,98.461451883356,103.16772362462,0.36889838131278,12–16,12,28,50.2,48.4,32.2,47.4,19.2,21.7,30.2,35.5,50.8,46.6,32.7,34.8,12.6,5.4,47.6,48.2,31.2,30.5,67.1,2010,-11.666295500259,66.7,69.1
Central Michigan,100.3716773461,101.13672551102,0.47818326753942,14–15,14,29,48.0,47.9,38.2,54.9,22.1,23.4,35.5,32.5,42.8,46.2,37.4,34.3,8.9,10.2,49.5,50.3,39.0,31.8,64.6,2010,-9.4741016877644,66.6,73.2
Brown,99.181311623487,110.82985269767,0.21805527774629,9–20,9,29,50.2,50.1,37.8,24.8,19.4,14.8,22.2,33.4,49.7,48.9,34.0,35.3,8.7,11.4,57.0,50.2,36.8,30.6,67.4,2010,-14.094264709304,73.9,68.5
Wright St.,107.32261239009,95.604355355211,0.79078130984449,20–12,20,32,51.4,49.4,34.1,44.2,18.5,24.8,31.6,30.1,49.2,47.5,36.6,35.5,6.3,7.6,57.7,54.3,38.8,32.9,63.3,2010,-3.922994204753,73.3,73.1
UC Irvine,99.212419429228,108.45281924532,0.26422986079606,12–18,12,30,47.0,51.0,36.9,45.5,17.2,20.1,31.1,33.0,45.3,47.5,34.0,39.4,7.4,8.1,55.5,51.6,31.1,30.4,64.7,2010,-13.595533022363,72.0,71.1
Furman,96.759732677775,104.11812086653,0.30092567583705,11–17,11,28,47.2,47.5,44.2,43.6,21.4,17.9,31.5,32.0,45.1,46.2,34.3,34.0,12.4,9.1,49.9,52.3,32.9,27.0,68.8,2010,-12.525293323249,70.8,65.8
UAB,103.74447226105,92.375338795639,0.79163590452804,23–8,23,31,47.4,45.3,45.4,38.0,20.3,21.2,35.7,28.3,47.6,44.6,31.4,31.4,7.5,10.9,51.1,47.9,31.9,28.4,65.7,2010,-0.016358210142295,69.2,72.5
Tulane,95.117748425064,99.078369734892,0.3848176727012,8–22,8,30,44.9,49.9,38.2,44.5,20.8,23.3,29.6,36.0,43.1,51.1,32.4,31.2,7.6,11.9,51.6,53.0,32.3,28.0,66.3,2010,-14.670512377729,69.3,69.5
FIU,96.981970216743,112.75379506545,0.1502249509911,6–25,6,31,46.2,56.0,32.1,38.3,19.3,21.3,30.7,34.9,47.5,54.7,28.9,38.8,5.2,10.5,50.1,59.4,32.1,37.1,69.1,2010,-19.462809935364,69.2,71.0
BYU,116.39493985409,92.505127728199,0.93350610232992,28–5,28,33,55.1,46.3,38.2,36.4,15.9,22.0,31.0,27.0,51.5,44.4,41.6,33.6,9.1,7.3,55.6,53.9,33.2,31.4,72.0,2010,4.0896073399954,78.6,67.5
Illinois Chicago,95.049006308474,102.06362792499,0.30600914704722,7–22,7,29,43.7,50.6,32.9,41.0,19.0,21.5,27.5,35.3,42.6,49.8,30.5,34.8,6.9,9.3,48.5,58.8,34.3,35.2,68.8,2010,-14.559266928753,71.8,70.7
Xavier,114.31894074709,94.652484318129,0.8976122996998,24–8,24,32,52.5,45.7,42.4,33.2,18.3,18.2,35.0,29.4,51.0,46.4,37.2,29.4,9.1,11.6,51.9,52.8,31.7,31.1,70.3,2010,2.8856449450639,71.3,65.6
Charlotte,107.29696961442,100.11532239639,0.68926666082763,19–12,19,31,47.4,47.1,42.5,32.0,19.1,17.7,35.5,32.9,47.8,47.7,31.1,30.7,10.5,10.1,54.1,54.0,35.7,36.5,68.4,2010,-2.323517626291,73.3,69.8
Canisius,99.189769616325,102.50596631479,0.40656341632244,15–17,15,32,47.0,47.8,33.7,31.6,21.8,19.5,35.0,33.5,46.9,47.2,31.5,32.6,9.2,9.9,54.2,55.2,36.9,34.7,66.7,2010,-11.335589778684,70.1,65.5
Wake Forest,106.32531185834,91.189137974103,0.8539629225255,19–10,19,29,47.4,43.0,41.0,38.6,21.1,19.6,38.5,33.9,47.6,42.9,31.3,28.9,13.1,8.3,45.0,47.8,23.2,32.3,70.4,2010,1.0460976708554,66.0,69.8
Florida Atlantic,101.54971739958,106.06833801594,0.37738712633086,12–16,12,28,49.0,51.5,32.5,44.7,17.6,20.5,31.6,34.0,44.8,47.8,38.5,42.1,10.2,10.6,54.9,49.9,32.5,23.9,69.4,2010,-10.931236749723,66.5,66.5
Northeastern,104.56332107321,94.90242362768,0.75303242812754,20–12,20,32,50.2,46.2,35.2,28.7,19.1,22.5,30.9,36.5,49.6,43.8,34.5,34.6,9.6,8.4,51.8,50.2,30.1,29.3,61.8,2010,-4.1520707994991,72.0,72.5
Robert Morris,98.931695051371,101.53579269669,0.42585338431947,23–11,23,34,49.0,47.0,45.9,46.9,21.7,23.2,34.5,32.5,46.7,46.2,36.5,32.3,7.2,8.5,53.6,57.2,29.0,38.1,67.4,2010,-6.3580468094723,66.1,71.6
Seattle,98.364281141192,100.33289027665,0.44327478847319,17–14,17,31,48.5,51.4,43.9,51.6,22.1,23.6,36.6,28.4,48.0,52.1,33.3,32.9,4.6,8.0,42.7,53.8,24.8,28.5,79.9,2010,-8.4543337392048,64.6,72.3
Villanova,118.03645189962,95.112270255808,0.92295979950297,24–7,24,31,53.0,47.2,44.0,49.0,19.1,20.9,38.0,31.9,51.1,45.0,37.6,33.8,11.2,11.3,50.2,60.6,34.5,38.5,72.7,2010,5.4926011866939,75.1,70.5
Howard,87.70746358738,108.86464738698,0.076907151260291,7–25,7,32,42.7,51.4,40.9,33.2,22.4,18.4,32.1,33.7,41.8,51.9,29.7,33.3,5.3,11.1,48.2,48.7,35.2,28.2,65.8,2010,-20.883621625298,59.2,67.3
Utah St.,115.16482457147,95.038892191163,0.90104578830651,26–7,26,33,55.5,45.7,30.4,29.8,16.3,17.6,33.8,27.0,52.2,44.6,42.2,32.1,9.7,8.3,62.7,51.5,29.7,32.8,61.8,2010,-0.20054959368008,76.2,70.9
Marist,89.642906713977,112.63227888032,0.067522503901307,1–29,1,30,45.4,52.2,28.4,37.5,22.1,18.7,26.1,34.6,41.0,51.7,35.1,35.4,3.7,12.8,49.3,52.0,37.6,35.7,63.9,2010,-23.86844811064,63.8,69.9
Portland St.,109.75103761783,115.3022498407,0.36182820570362,11–19,11,30,54.6,55.2,33.9,35.9,18.8,18.5,32.6,37.6,53.3,53.0,37.9,40.0,9.4,6.5,46.8,56.4,37.0,31.0,67.5,2010,-12.529877377859,70.9,73.7
Denver,106.13748741536,106.69385433747,0.48497329540169,19–13,19,32,57.9,50.7,44.8,59.7,19.6,21.2,18.8,31.3,56.8,48.6,39.5,37.9,9.2,10.9,67.5,39.8,45.2,24.8,59.9,2010,-8.9082395913819,71.4,70.4
Cal St. Northridge,96.141063832229,102.7823528764,0.31687571602939,11–21,11,32,46.3,48.9,52.2,48.0,23.9,22.2,35.9,34.9,46.2,47.1,31.2,34.5,8.8,8.5,47.7,61.8,27.9,38.1,72.1,2010,-14.932648687197,66.9,71.8
Maryland,115.76753814963,94.296450840167,0.91365620704016,22–8,22,30,51.9,44.3,33.9,29.0,16.7,21.5,35.3,37.1,49.9,41.7,38.8,33.2,10.9,7.9,56.1,47.7,24.5,31.8,70.4,2010,3.322487393447,72.3,70.0
Rice,95.520103609335,101.25750146491,0.33831870195251,7–23,7,30,45.0,50.9,35.6,42.5,21.1,21.3,33.0,30.7,44.6,50.3,30.6,34.5,8.1,10.8,52.0,59.1,30.2,38.3,67.2,2010,-16.2734687016,65.2,71.3
Rider,100.65982435008,103.47883644351,0.42125244348099,17–16,17,33,48.1,50.0,34.5,34.7,18.4,20.1,28.2,31.7,46.8,48.4,33.7,35.4,8.1,9.1,50.7,56.9,33.8,34.2,68.8,2010,-8.597416688565,68.8,70.1
Boston College,110.4796751542,98.316107372037,0.79272048757797,15–16,15,31,49.1,47.9,30.5,31.0,19.3,17.8,38.5,31.7,49.2,48.9,32.6,30.2,8.6,11.1,58.3,47.5,27.3,28.3,65.7,2010,-4.4623088187908,71.6,67.2
Arizona,106.87969319433,98.005261435042,0.7304389480556,16–15,16,31,50.1,48.7,44.3,38.3,20.1,18.4,29.6,31.5,48.4,49.5,35.8,31.4,6.4,9.5,51.5,50.2,32.2,31.9,69.0,2010,-3.627268306084,73.3,69.5
Penn St.,106.47365020837,99.511122708955,0.68518922980796,11–20,11,31,49.9,50.5,33.2,29.1,18.5,16.1,30.1,25.5,49.0,48.1,34.3,36.3,5.3,10.2,57.7,57.6,37.2,38.3,63.7,2010,-8.2668256540379,70.7,69.1
Hawaii,99.624080100473,106.43873512191,0.31844979586513,9–20,9,29,47.9,51.3,44.2,37.4,21.6,16.3,38.6,32.9,47.9,51.0,32.0,34.6,5.1,7.4,58.6,50.8,29.1,32.6,66.1,2010,-13.735128193685,65.7,70.0
San Diego,98.480405417252,99.520623199939,0.46982823642689,10–20,10,30,47.4,51.5,35.6,43.2,20.7,20.5,28.6,30.8,44.3,49.4,35.1,37.4,8.1,10.9,52.9,52.4,37.2,32.0,63.9,2010,-12.290074410322,71.6,68.6
UC Davis,98.591802935787,105.7457024624,0.30883655727156,12–18,12,30,50.1,53.1,43.0,45.0,21.6,21.6,26.3,30.8,48.3,53.1,35.7,35.4,7.2,8.2,58.6,56.6,34.6,32.7,68.2,2010,-13.285879798156,71.2,66.2
LSU,98.653650043885,98.621606688537,0.50093396953895,11–20,11,31,44.1,49.1,32.0,36.8,19.9,19.2,35.3,33.5,44.5,47.6,28.7,34.6,10.7,10.1,51.0,45.3,28.5,35.1,63.2,2010,-9.4687444954608,69.6,66.5
St. Francis NY,88.146153370296,104.82423219411,0.11995883686603,11–18,11,29,46.2,49.8,36.6,37.5,23.4,25.2,31.4,33.6,45.9,48.6,31.2,34.6,9.3,11.1,56.4,65.4,39.9,37.2,65.5,2010,-14.502881428259,61.5,70.7
Fresno St.,98.901117520599,98.731100151668,0.50494640110516,14–18,14,32,48.7,49.6,38.5,34.9,20.8,21.2,30.2,32.7,49.0,45.8,32.1,37.5,12.4,10.0,61.9,58.3,38.6,36.6,66.4,2010,-11.058032532525,68.1,67.5
UMKC,96.930194081191,110.20659907877,0.18600122078365,10–18,10,28,47.0,54.2,39.9,48.5,19.3,20.3,29.2,30.0,45.0,53.4,34.2,37.5,4.8,12.1,49.0,52.2,31.6,29.1,66.6,2010,-13.619445305692,70.6,71.7
Baylor,117.94940759673,95.247100877671,0.92117965096577,24–7,24,31,54.6,44.6,37.3,34.7,20.6,17.8,38.3,33.0,53.1,41.5,38.6,33.8,17.8,6.5,50.4,55.9,32.5,33.9,65.7,2010,5.5482581249449,73.3,67.6
Oral Roberts,100.13853050193,98.505224180487,0.54713881569827,19–13,19,32,48.1,47.8,40.6,31.6,19.7,18.4,34.5,28.8,48.5,44.8,31.4,36.9,11.0,8.3,47.2,51.4,25.7,28.2,66.9,2010,-6.796770292728,68.2,65.7
Ohio,103.69006586306,98.228416815303,0.65073550713826,20–14,20,34,48.9,46.0,40.8,36.0,18.1,21.4,31.1,33.9,46.3,46.2,35.8,30.4,6.7,9.1,57.5,56.9,35.2,33.4,70.1,2010,-7.5858150921326,73.3,70.3
Winthrop,89.493698552003,95.037792150027,0.3337609095234,17–13,17,30,41.9,45.7,35.4,38.7,18.1,22.8,34.0,29.7,42.6,46.3,26.5,29.7,11.0,8.3,47.7,56.8,25.6,35.2,65.5,2010,-8.5360045665671,63.9,66.9
Northern Illinois,96.890761885869,103.07918482612,0.32915641309556,10–20,10,30,45.2,49.7,39.6,46.9,21.9,19.4,35.8,30.7,45.4,47.9,30.0,35.7,9.4,8.8,57.2,51.3,33.8,31.9,71.2,2010,-13.742398568581,64.6,68.2
Georgia Tech,108.9560522592,90.554459861273,0.89353997461753,21–12,21,33,50.6,43.7,37.4,34.7,23.1,21.3,38.3,34.3,48.9,42.0,36.7,31.2,14.1,8.0,52.3,57.3,28.3,35.1,69.8,2010,1.3514502649854,64.2,66.7
Kent St.,104.21386347025,96.416566663627,0.70978126761392,22–9,22,31,48.3,48.3,39.2,38.6,18.0,23.1,32.7,30.4,48.4,48.3,32.1,32.2,8.1,8.5,52.5,57.0,30.8,35.1,68.5,2010,-1.9609451794925,68.3,70.9
High Point,96.909418045174,108.83599573121,0.20837436970123,13–15,13,28,47.4,50.3,35.4,47.7,21.9,21.0,34.7,34.6,45.4,48.2,34.5,37.4,10.6,11.5,49.5,50.8,30.7,26.1,68.2,2010,-11.803792500079,68.4,70.1
Weber St.,107.20818474273,103.07656018148,0.61110435189852,18–10,18,28,51.3,49.8,41.0,42.5,17.6,19.7,33.8,29.2,49.8,47.8,35.6,36.2,8.2,11.1,51.2,44.7,40.6,30.9,68.6,2010,-4.3175094917332,72.8,72.9
Maine,92.356823986676,97.957296261627,0.33692485551203,18–11,18,29,45.7,45.7,40.6,29.9,22.2,21.2,31.3,31.9,43.0,44.4,33.6,32.0,9.1,11.6,60.4,58.4,36.5,36.8,66.0,2010,-6.6172016873989,68.8,68.7
Sam Houston St.,110.22863970659,102.70631210929,0.69271787485803,21–7,21,28,54.3,50.3,39.5,41.7,18.9,21.1,34.4,30.4,52.1,50.2,38.5,33.6,6.0,9.0,72.0,67.7,39.8,33.3,70.0,2010,-2.3090661514723,70.9,69.3
SMU,105.76811547886,102.32453446479,0.5940288538248,12–17,12,29,51.6,50.2,42.0,31.7,21.7,18.4,33.2,29.5,50.8,47.4,35.4,36.3,7.5,6.8,46.4,55.7,33.6,39.8,62.1,2010,-9.7375997709555,70.6,73.3
Richmond,106.51820337373,91.85615989279,0.84593373557611,26–8,26,34,51.0,43.8,32.6,35.8,16.9,22.8,26.7,35.2,50.0,43.5,35.1,29.7,12.1,9.4,51.4,45.7,36.1,31.1,63.9,2010,2.7154149501455,69.7,70.6
Providence,115.14972608098,105.13392532407,0.74009832330063,12–19,12,31,49.3,52.0,33.9,38.2,17.1,18.2,41.5,37.3,49.2,52.2,33.0,34.3,9.7,9.2,48.5,55.2,35.8,28.5,74.4,2010,-6.8625642846524,67.1,69.2
Louisville,114.48938965033,97.16471845103,0.86839670418834,20–12,20,32,51.5,48.2,36.4,40.9,19.9,22.3,39.7,37.2,51.9,46.6,33.9,34.3,11.1,5.9,58.6,56.2,39.9,32.3,67.4,2010,-0.1054916745846,70.3,70.0
Davidson,102.14248069296,103.18359681128,0.47087708939292,14–15,14,29,50.0,50.6,34.8,38.3,20.0,17.6,32.5,27.4,47.4,47.8,35.7,37.7,9.0,9.2,60.4,45.9,42.9,31.9,67.0,2010,-8.8610446264464,67.7,71.5
Savannah St.,88.326719741499,102.73528947451,0.14959263808697,7–15,7,22,45.7,49.9,30.4,41.1,25.4,23.0,33.1,32.1,46.3,48.9,29.5,34.8,6.8,12.0,52.6,55.2,28.7,28.9,63.0,2010,-11.398939726558,64.4,67.7
