,YEAR,TEAM,SEED,March Madness Wins
191,2022,Texas A&M Corpus Chris,16,0
192,2022,Texas Southern,16,0
193,2022,Texas Tech,3,2
194,2022,UAB,12,0
195,2022,UCLA,4,2
112,2023,Penn St.,10,1
113,2023,Pittsburgh,11,1
114,2023,Princeton,15,2
119,2023,Southeast Missouri St.,16,0
120,2023,TCU,6,1
121,2023,Tennessee,4,2
122,2023,Texas,2,3
123,2023,Texas A&M,7,0
124,2023,Texas A&M Corpus Chris,16,0
125,2023,Texas Southern,16,0
126,2023,UC Santa Barbara,14,0
95,2023,Kennesaw St.,14,0
96,2023,Kent St.,13,0
97,2023,Kentucky,6,1
98,2023,Louisiana Lafayette,13,0
115,2023,Providence,11,0
116,2023,Purdue,1,0
117,2023,Saint Mary's,5,1
118,2023,San Diego St.,5,5
103,2023,Michigan St.,7,2
104,2023,Mississippi St.,11,0
105,2023,Missouri,7,1
106,2023,Montana St.,14,0
107,2023,Nevada,11,0
108,2023,North Carolina St.,11,0
109,2023,Northern Kentucky,16,0
110,2023,Northwestern,7,1
111,2023,Oral Roberts,12,0
79,2023,Drake,12,0
94,2023,Kansas St.,3,3
93,2023,Kansas,1,1
92,2023,Iowa St.,6,0
91,2023,Iowa,8,0
90,2023,Iona,13,0
89,2023,Indiana,4,1
88,2023,Illinois,9,0
83,2023,Furman,13,1
86,2023,Houston,1,2
85,2023,Grand Canyon,14,0
84,2023,Gonzaga,3,3
68,2023,Alabama,1,2
69,2023,Arizona,2,0
70,2023,Arizona St.,11,0
76,2023,College of Charleston,12,0
81,2023,Fairleigh Dickinson,16,1
82,2023,Florida Atlantic,9,4
80,2023,Duke,5,1
99,2023,Marquette,2,1
100,2023,Maryland,8,1
101,2023,Memphis,8,0
102,2023,Miami FL,5,4
129,2023,USC,10,0
128,2023,UNC Asheville,15,0
127,2023,UCLA,2,2
130,2023,Utah St.,10,0
131,2023,VCU,12,0
132,2023,Vermont,15,0
133,2023,Virginia,4,0
134,2023,West Virginia,9,0
135,2023,Xavier,3,2
78,2023,Creighton,6,3
77,2023,Connecticut,4,6
71,2023,Arkansas,8,2
72,2023,Auburn,9,1
75,2023,Colgate,15,0
74,2023,Boise St.,10,0
73,2023,Baylor,3,1
87,2023,Howard,16,0
7,2024,Clemson,6,3
10,2024,Colorado,10,1
9,2024,College of Charleston,13,0
8,2024,Colgate,14,0
5,2024,Boise St.,10,0
6,2024,BYU,6,0
4,2024,Baylor,3,1
15,2024,Drake,10,0
3,2024,Auburn,4,0
29,2024,Kentucky,3,0
28,2024,Kansas,4,1
27,2024,James Madison,12,1
26,2024,Iowa St.,2,2
25,2024,Illinois,3,3
24,2024,Howard,16,0
23,2024,Houston,1,2
1,2024,Alabama,4,4
21,2024,Grambling St.,16,0
20,2024,Gonzaga,5,2
19,2024,Florida Atlantic,8,0
0,2024,Akron,14,0
2,2024,Arizona,2,2
30,2024,Long Beach St.,15,0
11,2024,Colorado St.,10,0
22,2024,Grand Canyon,12,1
18,2024,Florida,7,0
16,2024,Duke,4,3
17,2024,Duquesne,11,1
13,2024,Creighton,3,2
14,2024,Dayton,7,1
12,2024,Connecticut,1,6
49,2024,Samford,13,0
47,2024,Saint Mary's,5,0
48,2024,Saint Peter's,15,0
50,2024,San Diego St.,5,2
59,2024,UAB,12,0
60,2024,Utah St.,8,1
61,2024,Vermont,13,0
62,2024,Virginia,10,0
55,2024,Tennessee,2,3
31,2024,Longwood,16,0
32,2024,Marquette,2,2
34,2024,Michigan St.,9,1
33,2024,McNeese St.,12,0
52,2024,South Dakota St.,15,0
53,2024,Stetson,16,0
54,2024,TCU,9,0
51,2024,South Carolina,6,0
56,2024,Texas,7,1
57,2024,Texas A&M,9,1
58,2024,Texas Tech,6,0
63,2024,Wagner,16,0
64,2024,Washington St.,7,1
65,2024,Western Kentucky,15,0
66,2024,Wisconsin,5,0
67,2024,Yale,13,1
46,2024,Purdue,1,5
45,2024,Oregon,11,1
44,2024,Oakland,14,1
43,2024,Northwestern,9,1
41,2024,North Carolina,1,3
42,2024,North Carolina St.,11,4
40,2024,New Mexico,11,0
39,2024,Nevada,10,0
35,2024,Mississippi St.,8,0
38,2024,Nebraska,8,0
37,2024,Morehead St.,14,0
36,2024,Montana St.,16,0
