UC Santa Barbara,104.38871004456,104.44371584785,0.49848547270607,19–10,19,29,51.1,51,37.2,30,18.3,19.1,31.3,25.7,51.2,50.6,34.2,34.5,7.2,7.3,55.7,47.1,35.4,35.9,65.2,2020,-5.6589821247633,74.9,71.1
Arkansas Pine Bluff,79.147710784089,102.83367807477,0.046946338150543,3–26,3,29,43.1,48.9,37.4,46.3,26.2,20.6,27.1,30.7,44.6,50.2,26.3,31.1,9.7,7.5,47.7,57.6,28.8,36.9,66.9,2020,-20.009059549066,58.5,67.9
Toledo,105.08338083955,103.86810187014,0.53339306694964,16–15,16,31,50.9,48.7,36.7,26.5,17.6,16.2,27.8,27.7,47.9,46.6,36.8,34.9,8.3,9.5,57.4,44.3,41.8,37.1,68.7,2020,-8.9498660010314,74.5,70.4
Indiana,107.03127396694,92.192760795217,0.84764567226646,20–12,20,32,49.3,47.9,39.2,32.6,18.3,17.8,32.4,24.5,49.5,47.6,32.6,32.2,12.6,8.3,51.0,51.3,29.6,38.6,68.7,2020,1.8708355275143,67.9,68.3
Louisiana,98.885114701002,105.38400840009,0.32475597200176,13–19,13,32,48.0,51.6,34.9,32.8,19.0,18.7,28.6,29.8,47.9,52.0,32.1,33.9,8.1,8.5,46.4,50.3,41.1,36.8,72.5,2020,-12.48532026388,74.3,73.8
Central Michigan,101.17689853116,104.95950678285,0.39601483521714,11–18,11,29,47.5,54.5,33.7,29.2,17.7,21.1,27.5,28.9,47.7,52.1,31.4,38.9,6.8,8.9,40.7,51.2,37.5,39.0,74.4,2020,-11.014814342686,75.1,71.2
Brown,96.086871154222,99.253814788126,0.40783608334012,14–12,14,26,44.9,49.7,32.4,29.3,21.2,19.7,32.8,26.4,44.5,49.4,30.4,33.5,11.5,11.7,47.6,49.1,38.1,36.9,70.1,2020,-6.5135008972247,73.8,72.1
Wright St.,103.86300047169,99.097770280999,0.6318372015627,23–7,23,30,51.0,46.5,37.8,27.1,16.6,18.9,31.9,29.4,49.9,47.3,35.5,30.0,8.1,7.4,47.6,41.6,33.7,32.1,72.8,2020,-3.6443247554902,67.1,71.1
UC Irvine,103.13878270384,98.09388938066,0.64031457047929,19–11,19,30,51.6,44.9,28.0,36.0,20.2,16.4,34.1,25.3,50.8,40.8,35.6,35.6,9.6,6.7,53.2,48.4,29.9,33.1,68.6,2020,-5.5719281830041,73.1,71.1
Furman,105.93568616629,96.59089464064,0.74307227958675,22–7,22,29,54.6,50.7,31.6,26.8,16.6,23.0,23.5,28.4,57.0,53.6,34.5,31.2,8.0,9.2,53.3,55.0,46.6,42.1,69.0,2020,-0.76025849891043,70.4,71.9
UAB,99.503203718468,100.3561015819,0.47548145670699,17–13,17,30,49.7,49.3,35.1,27.0,22.2,18.3,31.8,24.3,50.6,48.1,31.7,34.0,8.8,8.6,41.8,48.1,29.5,41.6,66.2,2020,-7.2255588097935,71.2,70.6
Tulane,100.9029812141,100.97111270131,0.49805941370839,12–18,12,30,47.8,52.7,34.2,29.6,16.9,23.0,22.2,31.2,46.3,54.0,33.4,34.0,7.8,9.2,48.0,62.9,40.3,43.3,69.3,2020,-9.1516528356538,71.2,69.4
FIU,102.75772459444,99.970637995774,0.5784030843301,16–13,16,29,51.7,47.9,29.3,30.5,20.4,21.3,30.2,35.5,52.1,50.6,34.1,28.6,15.4,8.5,50.5,49.3,41.4,35.7,73.0,2020,-6.22833662701,64.6,73.2
BYU,114.29661770115,94.434503506168,0.89982128201378,23–8,23,31,58.1,49.0,23.4,27.9,15.5,18.2,20.6,24.1,54.8,50.8,41.9,30.3,5.4,7.0,57.4,46.2,41.3,33.7,70.2,2020,2.7418524441708,69.7,69.7
Illinois Chicago,95.442577410678,98.422523907443,0.41251786858152,17–17,17,34,50.8,46.1,29.4,36.6,22.5,17.7,27.7,28.2,50.8,47.9,33.8,28.8,12.0,7.8,56.1,56.5,37.8,38.6,70.0,2020,-11.766668749715,67.8,66.2
Xavier,104.63266161527,90.527101508074,0.84094478286595,19–13,19,32,49.0,46.4,30.9,28.9,19.8,18.6,32.2,27.6,50.2,46.7,31.2,30.5,9.4,8.7,55.2,49.6,34.7,36.3,68.9,2020,0.33463500613974,65.8,72.7
Charlotte,97.592617517107,95.874841910081,0.55087823555462,16–13,16,29,51.6,50.4,38.0,27.6,20.6,20.3,21.5,23.7,51.9,52.1,34.0,31.9,10.4,10.6,52.3,50.1,36.8,39.9,66.2,2020,-6.9748423930851,70.3,67.7
Canisius,96.404340274546,104.7279876443,0.27840754908113,12–20,12,32,48.4,51.8,30.2,35.7,20.4,21.9,29.1,29.3,50.1,51.6,30.2,34.8,7.1,7.4,56.1,47.3,34.3,36.0,70.8,2020,-15.691300454514,69.6,70.5
Wake Forest,106.86855839929,100.52367221013,0.66904606187166,13–18,13,31,49.0,49.7,41.0,35.2,19.7,15.2,28.6,26.0,47.3,49.5,35.1,33.3,7.2,9.4,51.6,49.8,32.9,35.3,70.8,2020,-5.9669343385515,74.7,70.4
Florida Atlantic,98.68048489367,99.495720525516,0.47636377465377,14–15,14,29,48.5,50.5,26.9,29.3,18.8,20.7,28.7,26.9,49.1,50.0,31.8,34.3,5.8,6.9,47.3,46.5,42.1,37.2,69.3,2020,-8.9124888938399,70.2,69.4
Northeastern,105.13846648411,100.38375598974,0.62999486827654,17–16,17,33,54.8,51.7,25.6,30.6,17.9,19.8,24.4,24.2,54.3,53.2,37.1,32.9,5.3,7.2,51.3,43.0,40.2,38.0,66.8,2020,-10.696359531574,79.0,72.5
Robert Morris,99.023554276619,102.84930625156,0.3927107273532,19–14,19,33,51.4,50.4,26.0,31.7,18.7,21.4,28.2,29.3,49.6,51.5,36.1,32.3,5.8,9.5,64.1,50.1,39.6,36.2,66.9,2020,-9.2379757204147,67.6,73.1
Seattle,98.796316201384,103.07727683507,0.38040855969316,12–15,12,27,45.3,48.7,34.8,41.7,13.6,18.8,26.8,27.9,44.3,49.4,31.2,31.6,7.9,8.4,41.9,49.2,37.7,34.0,70.6,2020,-9.974969028851,77.0,73.4
Villanova,112.87475469604,93.118395877905,0.90138254151539,24–7,24,31,52.6,48.2,26.9,23.6,16.0,16.9,25.7,24.5,51.5,47.9,35.9,32.5,6.5,10.3,56.3,47.6,47.3,31.8,67.0,2020,6.7909385138299,75.9,70.2
Howard,93.039220073577,119.52928255728,0.05309012546909,3–28,3,31,48.2,53.9,33.1,34.7,20.7,18.5,25.7,36.9,45.9,55.0,34.7,34.7,9.0,7.4,54.6,61.6,37.2,37.6,70.9,2020,-24.182515607968,69.7,68.9
Utah St.,107.70255344465,93.15911644366,0.84134100217846,24–8,24,32,51.8,46.4,36.3,26.8,18.2,17.5,30.7,22.4,53.3,44.9,32.9,32.3,8.8,9.1,60.9,48.8,38.2,41.9,68.3,2020,1.2104600236786,76.3,70.4
Marist,88.593489503105,102.96010875125,0.15081062144333,7–23,7,30,45.9,49.3,29.7,39.1,20.9,20.6,25.9,25.2,42.4,47.7,34.1,34.2,9.9,7.0,49.3,57.8,40.0,42.9,65.7,2020,-20.049053597351,64.8,72.8
Portland St.,107.48290498976,107.35470786604,0.50343106576501,16–14,16,30,49.6,52.9,30.8,32.1,17.7,20.3,35.9,34.3,49.2,53.3,33.8,34.6,9.6,8.3,47.4,54.1,30.5,30.2,72.4,2020,-8.4505935982885,72.3,71.5
Denver,93.073170584008,105.63778246599,0.18904208277303,6–24,6,30,49.1,52.0,36.3,38.1,19.3,17.5,20.8,25.3,49.5,54.5,32.1,32.4,6.8,6.5,45.2,47.4,29.2,42.4,71.7,2020,-18.145505335441,69.2,76.1
Cal St. Northridge,105.05546257215,112.26794484603,0.3178652948153,13–17,13,30,51.6,54.7,30.4,29.0,16.3,17.3,25.2,32.0,49.4,52.4,37.3,38.7,8.3,8.1,50.7,54.5,33.9,40.8,71.1,2020,-10.765378126674,72.6,72.1
Maryland,110.29988131279,92.658284617396,0.88124483486819,24–7,24,31,48.6,46.1,37.7,24.2,16.7,17.3,31.5,26.6,50.1,44.5,31.1,32.5,11.8,10.9,55.0,54.7,43.1,38.1,67.9,2020,6.8552010612402,74.7,69.8
Rice,103.44144275917,106.148545414,0.42626932061559,13–17,13,30,51.5,53.0,34.3,29.8,18.8,17.6,24.4,26.6,52.0,55.1,34.0,33.2,5.2,10.4,56.4,50.7,50.7,39.8,71.1,2020,-10.645741939334,72.5,68.4
