Jackson St.,91.594510994824,107.71237810438,0.13422920597994,14–20,14,34,45.5,51.4,41.9,40.1,22.6,22.5,33.7,33.9,44.8,50.3,31.7,35.8,8.1,9.9,50.7,53.6,27.3,31,72.4,2008,-15.235788873297,67.5,67.3
Mississippi,112.37017387515,98.535730227061,0.81918894577442,21–10,21,31,51.5,49.7,29.2,34.7,18.1,20.0,39.3,31.3,50.6,48.1,35.6,35.0,9.3,9.7,52.9,54.8,33.2,36.1,71.1,2008,0.12477395544787,65.7,66.8
TCU,99.148320155589,100.14105155627,0.47138825488239,13–16,13,29,46.3,52.4,35.0,36.9,20.5,24.3,32.5,29.4,42.6,51.5,35.3,35.9,6.9,9.4,53.3,64.9,36.1,37.4,69.0,2008,-7.8166515660566,68.2,65.8
Albany,101.44120659485,103.2641093562,0.44897310570546,15–15,15,30,49.0,49.4,36.1,41.0,21.5,19.0,36.5,25.3,47.7,46.8,34.5,36.0,7.3,9.7,51.2,52.8,30.2,36.1,65.3,2008,-10.504447234573,72.6,69.7
Wyoming,99.54805370773,102.80891593835,0.40838072835672,10–18,10,28,49.3,48.5,45.1,35.9,24.4,17.0,29.6,30.7,50.3,47.0,31.6,34.2,12.1,11.2,57.9,55.5,34.3,35.8,70.5,2008,-10.24295347388,72.9,71.2
UC Santa Barbara,100.04881487983,95.87154749356,0.62021552600401,22–8,22,30,52.2,49.5,34.9,42.2,21.2,26.9,28.0,33.6,47.5,51.4,40.9,30.8,7.2,7.3,60.3,53.0,34.0,36.8,67.0,2008,-2.5251293668437,74.6,67.3
Minnesota,107.95587901849,94.576690255189,0.82077148125634,20–13,20,33,50.7,48.7,35.8,38.9,21.6,25.1,36.0,33.4,47.9,47.4,37.2,33.9,12.6,9.4,63.2,60.6,35.3,37.7,67.4,2008,-1.0969441100644,67.3,71.8
Illinois,105.86952366183,91.432586712917,0.84369252508192,16–19,16,35,48.8,45.8,36.5,37.2,21.5,20.3,37.0,29.9,49.2,43.3,31.9,33.5,8.1,8.9,59.6,52.8,33.0,35.5,63.3,2008,-4.029657705778,60.8,72.0
LIU,98.649393954865,104.32781619412,0.34443135419959,15–15,15,30,46.1,49.8,39.2,28.0,18.6,20.2,35.3,30.4,44.7,50.9,32.3,31.5,6.8,10.0,43.9,55.8,35.2,32.6,70.9,2008,-11.163051028731,68.1,71.4
Washington St.,114.29856628907,91.965831516826,0.92414634377607,24–8,24,32,54.4,47.7,39.8,28.8,17.2,22.2,28.1,30.1,52.9,46.3,38.1,33.7,8.7,7.7,58.9,50.1,34.4,32.5,60.1,2008,4.8758927113619,73.3,72.4
Arkansas Pine Bluff,86.936388677777,106.14181488149,0.091505231798591,11–18,11,29,44.2,46.0,30.1,39.1,21.1,19.2,29.4,31.1,43.1,44.8,31.1,32.6,13.1,9.1,49.8,47.5,30.6,30.9,64.7,2008,-14.559814333514,62.0,69.7
Portland St.,105.50926831318,102.0068753308,0.5958550224716,21–9,21,30,54.7,50.0,38.2,35.3,20.7,21.5,34.0,31.3,51.2,49.4,39.9,34.2,9.4,6.3,61.4,54.8,41.0,33.5,68.2,2008,-3.3098007757303,67.1,72.5
UTEP,105.18665109762,97.722623066834,0.69981941877371,19–13,19,32,49.1,49.5,46.0,48.8,18.0,23.5,30.7,30.7,49.0,47.3,32.9,35.6,7.9,7.1,51.7,57.8,33.4,36.0,73.0,2008,-3.5393172006948,65.9,68.1
Indiana,113.71235607122,93.393355951807,0.90583395799274,25–7,25,32,52.4,46.9,42.7,30.0,20.2,19.9,36.1,28.9,52.6,44.8,34.6,33.8,10.4,7.9,52.0,56.1,34.8,35.7,68.6,2008,4.7297603425729,76.3,64.2
Texas,120.06508684081,94.492047166064,0.94016477336919,27–6,27,33,51.4,46.1,32.6,29.7,14.1,18.5,36.1,33.7,48.7,43.6,37.7,33.2,14.2,7.3,47.2,55.9,34.3,38.9,64.8,2008,8.3726601718668,68.9,67.1
Tennessee Martin,102.97603475453,111.9388450428,0.27692851629283,15–16,15,31,51.0,52.8,33.6,28.4,19.6,18.7,33.4,34.4,50.7,53.1,34.3,34.9,6.2,10.4,51.3,61.6,44.9,37.6,70.6,2008,-10.940766398851,69.4,69.4
